"County","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"ABBEVILLE",24071.01415848,24291.233616398746,24513.467804952717,24737.73515638932,24964.05427158781,25192.443921602055,25422.92304921742,25655.5107705219,25890.2263764916,26127.089334590768,26366.11929038643,26607.336069177796,26850.759677640588,27096.41030548642,27344.30832713733,27594.474303415638,27846.928983249312,28101.693305392866,28358.78840016403,28618.23559119634,28880.056397207703,29144.272533785203,29410.90591518618,29679.97865615583,29951.513073761413,30225.531689243235,30502.05722988258,30781.112630886728,31062.72103729123,31346.905805879534,31633.690507120256,31923.098927122086,32215.155069606662,32509.883157899436,32807.30763693877,33107.453175303424,33410.34466725858,33716.007234820565,34024.46622984056,34335.7472361072,34649.87607146858,34966.878789973576,35286.78168403281,35609.61128659931,35935.394373369236,36264.15796500261,36595.92932936447,36930.73598378648,37268.605697349194,37609.56649318531
"AIKEN",169519.6756388,171070.56713136248,172635.64732746422,174215.0460358694,175808.89425292893,177417.32417344535,179040.4692016371,180678.4639622032,182331.44431148903,183999.5473487544,185682.91142754463,187381.67616716586,189095.98246426473,190825.972504515,192571.78977441,194333.57907316388,196111.4865247211,197905.6595898763,199716.24707850444,201543.39916190348,203387.26738524958,205248.0046801664,207125.76537740926,209020.7052196655,210932.98137447194,212862.7524472502,214810.1784944619,216775.42103688355,218758.64307300342,220760.00909254045,222779.6850900875,224817.83857887867,226874.63860468328,228950.25575982642,231044.86219733814,233158.6316452317,235291.73942091304,237444.36244572137,239616.67925960344,241808.87003592146,244021.11659639698,246253.60242619133,248506.51268912386,250780.03424302966,253074.3556552577,255389.6672183105,257726.16096562738,260084.03068751175,262463.4719472041,264864.6820971023
"ALLENDALE",7745.1928534300005,7816.051611620611,7887.558638189728,7959.719863976409,8032.541274079416,8106.028908353625,8180.18886191098,8255.027285626018,8330.55038664603,8406.764428905886,8483.67573364757,8561.290679944468,8639.615705230448,8718.657305833798,8798.422037516017,8878.916516015566,8960.147417596581,9042.121479602609,9124.845501015392,9208.326343018804,9292.570929567895,9377.586247963196,9463.379349430223,9549.957349704331,9637.327429620891,9725.496835710866,9814.472880801854,9904.26294462461,9994.874474425136,10086.314985582343,10178.592062231404,10271.713357892766,10365.68659610695,10460.519571075149,10556.220148305672,10652.796265266321,10750.255932042734,10848.60723200274,10947.858322466802,11048.01743538459,11149.092878017744,11251.093033628878,11354.02636217691,11457.901401018713,11562.726765617233,11668.51115025604,11775.263328760448,11882.992155225225,11991.70656474895,12101.415574175102
"ANDERSON",206067.2054752,208089.79399018365,210132.23459318638,212194.72213619907,214277.45338372144,216380.62703153424,218504.44372565448,220649.10608147795,222814.81870310867,225001.7882028785,227210.2232210585,229440.33444576326,231692.33463305098,233966.43862722075,236262.86338130903,238581.8279777872,240923.55364946256,243288.2638005841,245676.18402815567,248087.54214345824,250522.56819378375,252981.49448438134,255464.55560062043,257971.9884303697,260504.03218659738,263060.9284301918,265642.9210930072,268250.25650113495,270883.1833984035,273541.95297010883,276226.8188669782,278938.0372293685,281675.8667117026,284440.56850714533,287232.40637252183,290051.64665348,292898.5583099009,295773.41294155736,298676.48481402517,301608.0508848488,304568.390829963,307557.7870703749,310576.52479910676,313624.8920084044,316703.1795172119,319811.6809989162,322950.6930093638,326120.51501515287,329321.44942220283,332553.80160460423
"BAMBERG",12983.43975924,13102.221878135197,13222.090703791533,13343.05617820698,13465.128334336261,13588.317296923,13712.63328333947,13838.086604434035,13964.687665386322,14092.446966570256,14221.375104424947,14351.482772333586,14482.780761510334,14615.279961895387,14748.99136305816,14883.926055108792,15020.09522961796,15157.510180545118,15296.182305175213,15436.123105064,15577.344186991977,15719.857263927066,15863.674155996088,16008.80679146514,16155.267207728924,16303.067552309138,16452.220083862005,16602.73717319501,16754.631304292947,16907.915075353336,17062.601199831344,17218.70250749423,17376.23194548547,17535.202579398585,17695.62759436083,17857.520296126753,18020.894112181806,18185.762592856005,18352.139412447832,18520.03837035837,18689.47339223583,18860.458531130567,19033.00796866066,19207.136016188102,19382.857116005845,19560.185842535615,19739.13690353674,19919.725141326024,20101.965534008763,20285.873196721062
"BARNWELL",20337.06134387,20523.119837098442,20710.880531166877,20900.358999068765,21091.57095627085,21284.532262016597,21479.258920641576,21675.76708290086,21874.073047308586,22074.19326148977,22276.144323544475,22479.942983424477,22685.606144322493,22893.150864074192,23102.594356572925,23313.95399319749,23527.24730425293,23742.491980424482,23959.705874244875,24178.907001575022,24400.113543098276,24623.34384582833,24848.61642463095,25075.949963759598,25305.36331840512,25536.875516259603,25770.50575909455,26006.27342435349,26244.19806675915,26484.29941993532,26726.597398043617,26971.112097435136,27217.86379831727,27466.872966435767,27718.16025477217,27971.746505256775,28227.652750497302,28485.90021552333,28746.51031954672,29009.50467773815,29274.905103019868,29542.73360787489,29813.012406172722,30085.763915011794,30361.010756578762,30638.77576002476,30919.081963358934,31201.952615359172,31487.411177500395,31775.481325900477
"BEAUFORT",189037.1934369,190766.6456316049,192511.92013534528,194273.16170231794,196050.51641103817,197844.13167645558,199654.156262181,201480.7402928249,203324.03526644869,205184.19406713033,207061.3709776445,208955.72169225887,210867.40332964755,212796.57444592266,214743.3950477849,216708.02660579485,218690.63206776525,220691.37587227608,222710.42396231316,224747.94379903167,226804.10437564531,228879.0762314429,230973.03146593284,233086.1437531174,235218.58835589702,237370.54214060697,239542.18359168674,241733.69282648354,243945.2516101915,246177.0433709272,248429.25321494354,250702.0679419824,252995.67606076793,255310.26780464177,257646.03514734103,260003.17181892047,262381.87332182104,264782.3369470846,267204.76179071766,269649.3487702044,272116.30064117064,274605.822014201,277118.1193718092,279653.40108556376,282211.8774333707,284793.76061691385,287399.2647792552,290028.60602259607,292682.0024262006,295359.67406448367
"BERKELEY",237473.2409124,243440.12024678392,249556.92657443372,255827.42704096268,262255.48344729445,268845.05462802283,275600.1988895315,282525.07650937524,289623.95229846204,296901.198227614,304361.2961201242,312008.8404119688,319848.5409813733,327885.22604947584,336123.8451538747,344569.47219689016,353227.3085704192,362102.68635930604,371201.07162520324,380528.0677729445,390089.4190015025,399891.01384165755,409938.8887825559,420239.23198939004,430798.3871144925,441622.85720418824,452719.30870381335,464094.5755633658,475755.6634463169,487709.75404417556,499964.20949946257,512526.5769398193,525404.5931260423,538606.1892169073,552139.495653716,566012.8471675761,580234.787912495,594814.0767274519,609759.6925306863,625080.8398495278,640786.9544891699,656887.7093438806,673393.02035423,690313.0526140003,707658.226630543,725439.2247424363,743666.9976983957,762352.7714014916,781508.053822823,801144.6420889095
"CALHOUN",13983.15597165,14111.0842345722,14240.182879952228,14370.462615315273,14501.934246146891,14634.608676789217,14768.496911345388,14903.610054592218,15039.95931290124,15177.555995168166,15316.411513750869,15456.537385415915,15597.945232293772,15740.646782842774,15884.653872821858,16029.978446272262,16176.632556508144,16324.628367116316,16473.97815296507,16624.694301222295,16776.789312382858,16930.2758013054,17085.16649825864,17241.47424997722,17399.212020727206,17558.39289338138,17719.03007050433,17881.136875447475,18044.72675345412,18209.8132727746,18376.41012579167,18544.531130156112,18714.19022993283,18885.40149675734,19058.179131002908,19232.537462958324,19408.49095401647,19586.054197873756,19765.24192174053,19946.06898756257,20128.550393253714,20312.70127393985,20498.53690321418,20686.07269440405,20875.324201849347,21066.30712219256,21259.037295680686,21453.53070747904,21649.803488997044,21847.871919226218
"CHARLESTON",412625.5266535,416400.53044872056,420210.0707733932,424054.4635932576,427934.027764742,431849.0850614091,435799.9602006448,439786.9808705898,443810.47775731835,447870.7845722659,451968.2380799072,456103.1781256877,460275.94766421046,464486.8927876813,468736.36275461374,473024.7100187966,477352.2902585271,481719.4624061108,486126.58867763146,490574.03460299404,495062.1690562416,499591.3642861499,504161.99594710226,508774.4431302464,513429.0883949364,518126.3178004626,522866.52093807136,527650.0909632785,532477.4246284774,537348.9223158461,542264.988070555,547226.0296342792,552232.4584790162,557284.6898412142,562383.1427562118,567528.2400929928,572720.4085892598,577960.0788868279,583247.6855673422,588583.6671883224,593968.4663195371,599402.5295797108,604886.3076735667,610420.2554292086,616004.8318358444,621640.500081855,627327.7275932117,633066.9860722445,638858.7515367656,644703.5043595505
