"County","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"ABBEVILLE",24071.01415848,23930.02831687,23789.04247524,23648.05663353,23507.070791910002,23344.74142134,23182.41205077,23020.082679799998,22857.75330943,22695.42393887,22495.06207981,22294.70022036,22094.33836131,21893.97650196,21693.6146431,21465.78069005,21237.94673678,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392,21010.11278392
"AIKEN",169519.6756388,170007.3512804,170495.0269204,170982.7025621,171470.3782001,171718.646265,171966.91433,172215.1823928,172463.4504561,172711.718521,172725.5592053,172739.3998851,172753.2405647,172767.0812458,172780.921928,172625.0660086,172469.2100885,172313.3541713,172477.6882026235,172642.02223394703,172806.3562652706,172970.6902965941,173135.02432791764,173299.35835924116,173463.69239056468,173628.0264218882,173792.36045321176,173956.69448453528,174121.0285158588,174285.36254718233,174449.69657850586,174614.03060982938,174778.36464115293,174942.69867247646,175107.03270379998,175271.3667351235,175435.70076644703,175600.03479777058,175764.3688290941,175928.70286041763,176093.03689174115,176257.37092306468,176421.7049543882,176586.03898571176,176750.37301703528,176914.7070483588,177079.04107968233,177243.37511100585,177407.70914232938,177572.04317365293
"ALLENDALE",7745.1928534300005,7500.38570687,7255.57856032,7010.7714137699995,6765.96426718,6559.94446593,6353.92466471,6147.90486345,5941.8850622,5735.86526096,5562.36090776,5388.85655455,5215.35220135,5041.84784818,4868.34349494,4721.10936948,4573.87524404,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855,4426.64111855
"ANDERSON",206067.2054752,208102.4109555,210137.6164307,212172.8219091,214208.0273853,216225.1032106,218242.1790379,220259.2548643,222276.3306866,224293.4065118,226231.9694631,228170.5324075,230109.0953567,232047.6583071,233986.2212504,235877.2914237,237768.361592,239659.4317602,241635.44507108236,243611.4583819647,245587.47169284706,247563.4850037294,249539.4983146118,251515.51162549414,253491.5249363765,255467.53824725884,257443.5515581412,259419.56486902354,261395.5781799059,263371.59149078827,265347.6048016706,267323.61811255297,269299.6314234353,271275.64473431767,273251.65804520005,275227.67135608237,277203.68466696475,279179.69797784707,281155.71128872945,283131.72459961177,285107.73791049415,287083.7512213765,289059.76453225885,291035.77784314123,293011.79115402355,294987.80446490593,296963.81777578825,298939.83108667063,300915.84439755295,302891.85770843533
"BAMBERG",12983.43975924,12715.87951852,12448.31927781,12180.75903709,11913.19879636,11661.12569447,11409.05259253,11156.97949066,10904.90638879,10652.83328689,10406.65451267,10160.4757384,9914.29696415,9668.118189910001,9421.93941569,9190.02882071,8958.11822572,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072,8726.20763072
"BARNWELL",20337.06134387,20107.12268784,19877.1840317,19647.24537556,19417.30671949,19171.05840538,18924.81009125,18678.56177733,18432.31346291,18186.06514894,17924.60852684,17663.15190446,17401.6952824,17140.23866001,16878.7820379,16619.61486557,16360.44769356,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158,16101.28052158
"BEAUFORT",189037.1934369,190383.3868742,191729.580311,193075.7737486,194421.9671851,195587.7829946,196753.598806,197919.4146154,199085.2304257,200251.0462355,201075.5926553,201900.1390732,202724.6854889,203549.2319065,204373.7783239,204844.6339507,205315.4895773,205786.3452001,206771.5894214647,207756.8336428294,208742.07786419414,209727.32208555884,210712.56630692355,211697.81052828825,212683.05474965295,213668.29897101765,214653.54319238238,215638.78741374708,216624.03163511178,217609.27585647648,218594.52007784118,219579.76429920588,220565.0085205706,221550.2527419353,222535.49696330001,223520.74118466472,224505.98540602942,225491.22962739412,226476.47384875885,227461.71807012355,228446.96229148825,229432.20651285295,230417.45073421765,231402.69495558238,232387.93917694708,233373.18339831178,234358.42761967648,235343.67184104118,236328.91606240591,237314.16028377062
"BERKELEY",237473.2409124,243378.4818288,249283.7227392,255188.9636517,261094.204567,267472.6684796,273851.132394,280229.5963105,286608.0602229,292986.5241372,299784.3686732,306582.2132042,313380.0577391,320177.9022761,326975.746808,334193.1644614,341410.5821138,348627.9997643,355166.51499088237,361705.0302174647,368243.5454440471,374782.06067062943,381320.5758972118,387859.09112379415,394397.6063503765,400936.1215769588,407474.6368035412,414013.1520301235,420551.66725670587,427090.1824832882,433628.6977098706,440167.21293645294,446705.7281630353,453244.24338961765,459782.7586162,466321.27384278236,472859.7890693647,479398.3042959471,485936.8195225294,492475.3347491118,499013.8499756941,505552.3652022765,512090.8804288588,518629.3956554412,525167.9108820235,531706.4261086059,538244.9413351882,544783.4565617705,551321.9717883529,557860.4870149354
"CALHOUN",13983.15597165,13841.31194321,13699.46791494,13557.62388652,13415.77985817,13252.80782489,13089.83579151,12926.8637582,12763.89172494,12600.91969162,12422.6945369,12244.46938213,12066.24422739,11888.01907266,11709.79391791,11526.52259298,11343.25126806,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431,11159.9799431
"CHARLESTON",412625.5266535,415833.0533051,419040.5799585,422248.106609,425455.6332625,428008.9306515,430562.2280429,433115.5254373,435668.8228257,438222.1202181,440202.6036246,442183.0870292,444163.5704367,446144.05384199996,448124.537248,449710.99073,451297.444207,452883.897687,455252.0371595588,457620.17663211765,459988.31610467646,462356.45557723526,464724.5950497941,467092.7345223529,469460.87399491173,471829.0134674706,474197.1529400294,476565.29241258826,478933.43188514706,481301.57135770586,483669.7108302647,486037.8503028235,488405.98977538233,490774.1292479412,493142.2687205,495510.4081930588,497878.54766561766,500246.68713817646,502614.82661073527,504982.96608329413,507351.10555585293,509719.24502841174,512087.3845009706,514455.5239735294,516823.6634460882,519191.80291864707,521559.94239120587,523928.0818637647,526296.2213363235,528664.3608088824
"CHEROKEE",56071.56295731,55964.12591461,55856.68887202,55749.25182933,55641.81478684,55473.84001291,55305.86523918,55137.89046545,54969.91569172,54801.94091779,54552.3435649,54302.7462118,54053.1488589,53803.551506,53553.9541534,53249.543753699996,52945.1333546,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552,52640.7229552
"CHESTER",32230.72702472,32185.45404962,32140.18107464,32094.90809936,32049.63512417,31978.67774261,31907.72036075,31836.76297889,31765.80559722,31694.84821556,31600.94454662,31507.04087747,31413.13720862,31319.23353957,31225.32987091,31118.22352114,31011.11717176,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209,30904.01082209
